feature_name	operation	parameter	sigma	group	downsample	quickTest	model_name_here
Structure_smallest_16.0_1.0	Structure_1	2	16	ImageScience			
Structure_largest_16.0_3.0	Structure_3	0	16	ImageScience			
Structure_middle_16.0_3.0	Structure_3	1	16	ImageScience			
Structure_smallest_16.0_3.0	Structure_3	2	16	ImageScience			
Minimum_16.0	Minimum 3D...		16	IJ_filter			
Maximum_16.0	Maximum 3D...		16	IJ_filter			
Mean_16.0	Mean 3D...		16	IJ_filter			
Median_16.0	Median 3D...		16	IJ_filter			
Variance_16.0	Variance 3D...		16	IJ_filter			
Gaussian_blur_8.0_ds_2_2_1	Gaussian Blur 3D...		8	IJ_filter	2_2_1		
Hessian_largest_8.0_true_ds_2_2_1	Hessian	0	8	ImageScience	2_2_1		
Hessian_middle_8.0_true_ds_2_2_1	Hessian	1	8	ImageScience	2_2_1		
Hessian_smallest_8.0_true_ds_2_2_1	Hessian	2	8	ImageScience	2_2_1		
Derivatives_1_1_1_8.0_ds_2_2_1	Derivatives	1	8	ImageScience	2_2_1		
Derivatives_2_2_2_8.0_ds_2_2_1	Derivatives	2	8	ImageScience	2_2_1		
Derivatives_3_3_3_8.0_ds_2_2_1	Derivatives	3	8	ImageScience	2_2_1		
Derivatives_4_4_4_8.0_ds_2_2_1	Derivatives	4	8	ImageScience	2_2_1		
Derivatives_5_5_5_8.0_ds_2_2_1	Derivatives	5	8	ImageScience	2_2_1		
Laplacian_8.0_ds_2_2_1	Laplacian		8	ImageScience	2_2_1		
Edges_8.0_ds_2_2_1	Edges		8	ImageScience	2_2_1		
Structure_largest_8.0_1.0_ds_2_2_1	Structure_1	0	8	ImageScience	2_2_1		
Structure_middle_8.0_1.0_ds_2_2_1	Structure_1	1	8	ImageScience	2_2_1		
Structure_smallest_8.0_1.0_ds_2_2_1	Structure_1	2	8	ImageScience	2_2_1		
Structure_largest_8.0_3.0_ds_2_2_1	Structure_3	0	8	ImageScience	2_2_1		
Structure_middle_8.0_3.0_ds_2_2_1	Structure_3	1	8	ImageScience	2_2_1		
Structure_smallest_8.0_3.0_ds_2_2_1	Structure_3	2	8	ImageScience	2_2_1		
Minimum_8.0_ds_2_2_1	Minimum 3D...		8	IJ_filter	2_2_1		1
Maximum_8.0_ds_2_2_1	Maximum 3D...		8	IJ_filter	2_2_1		1
Mean_8.0_ds_2_2_1	Mean 3D...		8	IJ_filter	2_2_1		1
Median_8.0_ds_2_2_1	Median 3D...		8	IJ_filter	2_2_1		1
Variance_8.0_ds_2_2_1	Variance 3D...		8	IJ_filter	2_2_1		1
